x,Err100,Err500,Err1400,rate
1,0.000136,0.000298,0.000000,1 
2,0.000136,0.000298,0.000000,2
3,0.000000,0.000000,0.000000,5.5
4,0.000408,0.000000,0.002038,11
6,0.003397,0.000298,0.001488,1
7,0.004077,0.002083,0.005060,2
8,0.007883,0.005436,0.010119,5.5
9,0.031934,0.054355,0.094035,11
11,0.010056,0.009524,0.014890,1
12,0.132763,0.204349,0.304257,2
13,0.217693,0.547431,0.747243,5.5
14,0.998143,1.000000,1.000000,11
16,0.153574,0.177083,0.202143,1
17,1.000000,1.000000,1.000000,2
18,1.000000,1.000000,1.000000,5.5
19,1.000000,1.000000,1.000000,11
