QSize,Util-Err1,QO-Err1,Util-Err5,QO-Err5,Util-Err10,QO-Err10,Util-Err20,QO-Err20
0,0.980198,0.00980198,0.904762,0.0452381,0.818182,0.0818182,0.666667,0.133333
1,0.985075,0.00492537,0.926829,0.0231707,0.857143,0.0428571,0.727273,0.0727273
2,0.986711,0.00328904,0.934426,0.0155738,0.870968,0.0290323,0.750000,0.0500000
3,0.987531,0.00246883,0.938272,0.0117284,0.878049,0.0219512,0.761905,0.0380952
4,0.988024,0.00197605,0.940594,0.00940594,0.882353,0.0176471,0.769231,0.0307692
5,0.988353,0.00164725,0.942149,0.00785124,0.885246,0.0147541,0.774194,0.0258065
6,0.988588,0.00141227,0.943262,0.00673759,0.887324,0.0126761,0.777778,0.0222222
7,0.988764,0.00123596,0.944099,0.00590062,0.888889,0.0111111,0.780488,0.0195122
8,0.988901,0.00109878,0.944751,0.00524862,0.890110,0.00989011,0.782609,0.0173913
9,0.989011,0.000989011,0.945274,0.00472637,0.891089,0.00891089,0.784314,0.0156863
10,0.989101,0.000899183,0.945701,0.00429864,0.891892,0.00810811,0.785714,0.0142857
11,0.989176,0.000824313,0.946058,0.00394191,0.892562,0.00743802,0.786885,0.0131148
12,0.989239,0.000760953,0.946360,0.00363985,0.893130,0.00687023,0.787879,0.0121212
13,0.989293,0.000706638,0.946619,0.00338078,0.893617,0.00638298,0.788732,0.0112676
14,0.989340,0.00065956,0.946844,0.00315615,0.894040,0.00596026,0.789474,0.0105263
15,0.989382,0.000618364,0.947040,0.0029595,0.894410,0.00559006,0.790123,0.00987654
16,0.989418,0.000582011,0.947214,0.00278592,0.894737,0.00526316,0.790698,0.00930233
17,0.989450,0.000549695,0.947368,0.00263158,0.895028,0.00497238,0.791209,0.00879121
18,0.989479,0.000520779,0.947507,0.00249344,0.895288,0.00471204,0.791667,0.00833333
19,0.989505,0.000494753,0.947631,0.00236908,0.895522,0.00447761,0.792079,0.00792079
20,0.989529,0.000471204,0.947743,0.00225653,0.895735,0.0042654,0.792453,0.00754717
21,0.989550,0.000449796,0.947846,0.0021542,0.895928,0.0040724,0.792793,0.00720721
22,0.989570,0.000430248,0.947939,0.00206074,0.896104,0.0038961,0.793103,0.00689655
23,0.989588,0.000412328,0.948025,0.00197505,0.896266,0.00373444,0.793388,0.00661157
24,0.989604,0.000395842,0.948104,0.00189621,0.896414,0.00358566,0.793651,0.00634921
25,0.989619,0.000380623,0.948177,0.00182342,0.896552,0.00344828,0.793893,0.00610687
26,0.989633,0.000366531,0.948244,0.00175601,0.896679,0.00332103,0.794118,0.00588235
27,0.989647,0.000353445,0.948307,0.0016934,0.896797,0.00320285,0.794326,0.00567376
28,0.989659,0.000341262,0.948365,0.00163511,0.896907,0.00309278,0.794521,0.00547945
29,0.989670,0.00032989,0.948419,0.0015807,0.897010,0.00299003,0.794702,0.00529801
30,0.989681,0.000319252,0.948470,0.00152979,0.897106,0.00289389,0.794872,0.00512821
